primary,descriptor2,descriptor3,노트,색상/이미지,계절,온도/습도,날씨,시간대,장소/상황,감정/분위기,normalized_tags,계열,예시_향수,hex_palette_from_colors
Floral,Citrus,Fruity,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, citrus, fruity",,,
Floral,Rose,Citrus,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, citrus",,,
Floral,Citrus,Rose,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, citrus, rose",,,
Floral,Fresh,Rose,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fresh, rose",,,
Fruity,Plum,Jasmin,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, plum, jasmin",,,
Food Like,Roasted,Waxy,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, roasted, waxy",,,
Gourmand,Nutty,Roasted,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, nutty, roasted",,,
Food Like,Buttery,Creamy,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, buttery, creamy",,,
Floral,Jasmin,Spicy,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, jasmin, spicy",,,
Herbal,Fresh,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, fresh, minty",Green/Herbal,,
Balsamic,Sweet,Vanilla,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+크림아이보리)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, sweet, vanilla",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Sulfurous,Onion,Garlic,Sulfurous,옐로우/그레이,특정용도,자극/특수,특수/실험,특정,테이스팅랩,실험/독특,"sulfurous, onion, garlic",,,
Balsamic,Amber,Sage,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+앰버골드)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, amber, sage",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Fruity,Sweet,Green,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, green",,,
Green,Fresh,Floral,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fresh, floral",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Herbal,Celery,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, celery, green",Green/Herbal,,
Fruity,Fermented,Fresh,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, fermented, fresh",,,
Spicy,Peppery,Citrus,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, peppery, citrus",,,
Aromatic,Phenolic,Dry,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, phenolic, dry",Green/Herbal,,
Fruity,Sweet,Banana,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, banana",,,
Herbal,Sweet,Anisic,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, sweet, anisic",Green/Herbal,,
Herbal,Fruity,Floral,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, fruity, floral",Green/Herbal,,
Aromatic,Spearmint,Herbal,Aromatic,"vivid green, 그린/블루 (+민트)","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, spearmint, herbal",Green/Herbal,,
Fruity,Sweet,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, pineapple",,,
Gourmand,Caramel,Anisic,Gourmand,베이지/크림 (+카라멜브라운),가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, caramel, anisic",,,
Fruity,Coconut,Herbal,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, coconut, herbal",,,
Gourmand,Popcorn,Butterscotch,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, popcorn, butterscotch",,,
Floral,Rose,Cyclamen,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, cyclamen",,,
Fruity,Peach,Creamy,Fruity,오렌지/레드 (+피치/살구),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, peach, creamy",,,
Herbal,Floral,Violet,Herbal,"vivid green, 그린 (+보라)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, floral, violet",Green/Herbal,,
Gourmand,Nutty,Coffee,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, nutty, coffee",,,
Floral,Jasmin,Myrrh,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, jasmin, myrrh",,,
Food Like,Waxy,Cheesy,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, waxy, cheesy",,,
Floral,Fruity,Balsamic,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fruity, balsamic",,,
Herbal,Camphoraceous,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, camphoraceous, minty",Green/Herbal,,
Fruity,Cherry,Sweet,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, cherry, sweet",,,
Musk like,Floral,Warm,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, floral, warm",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Musk like,Floral,Woody,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, floral, woody",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Green,Floral,Citrus,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, floral, citrus",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Minty,Fresh,Cooling,Minty,"허브 초록, 라벤더색, 민트","봄, 여름, 여름",차가운,선선/그늘,"낮, 저녁","herb 정원, 스파, 스포츠/아웃도어","깨끗함, 집중됨, relaxing, 쿨/리프레시","minty, fresh, cooling",Aromatic/Herbal,,"#4CAF50, #B57EDC"
Musk like,Woody,Powdery,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, woody, powdery",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Sulfurous,Onion,Garlic,Sulfurous,옐로우/그레이,특정용도,자극/특수,특수/실험,특정,테이스팅랩,실험/독특,"sulfurous, onion, garlic",,,
Musk like,Animal Like,Floral,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, animal like, floral",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Green,Floral,Neroli,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, floral, neroli",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Floral,Rose,Honey,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, honey",,,
Spicy,Medicinal,Cinnamon,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, medicinal, cinnamon",,,
Spicy,Smoky,Animal Like,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, smoky, animal like",,,
Food Like,Phenolic,Smoky,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, phenolic, smoky",,,
Floral,Neroli,Powdery,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, neroli, powdery",,,
Floral,Neroli,Honey,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, neroli, honey",,,
Food Like,Buttery,Cheesy,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, buttery, cheesy",,,
Food Like,Bread,Coffee,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, bread, coffee",,,
Food Like,Coffee,Roasted,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, coffee, roasted",,,
Fruity,Sweet,Apricot,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, apricot",,,
Fruity,Green,Apple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, apple",,,
Woody,Patchouli,Camphoraceous,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, patchouli, camphoraceous",,,
Green,Floral,Oily,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, floral, oily",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Fruity,Oily,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fruity, oily",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Oily,Peach,Fruity,오렌지/레드 (+피치/살구),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, oily, peach",,,
Fruity,Sweet,Apple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, apple",,,
Herbal,Fruity,Floral,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, fruity, floral",Green/Herbal,,
Green,Fresh,Floral,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fresh, floral",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Gourmand,Vanilla,Sweet,Gourmand,베이지/크림 (+크림아이보리),가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, vanilla, sweet",,,
Fruity,Soft,Strawberry,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, soft, strawberry",,,
Green,Fruity,Floral,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fruity, floral",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Herbal,Woody,Floral,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, woody, floral",Green/Herbal,,
Woody,Peppery,Balsamic,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, peppery, balsamic",,,
Fruity,Oily,Peach,Fruity,오렌지/레드 (+피치/살구),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, oily, peach",,,
Green,Spicy,Herbal,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, spicy, herbal",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Floral,Rose,Green,"leafy green, 그린 (+로즈핑크)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, floral, rose",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Citrus,Fresh,Green,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, green",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Floral,Sweet,Lavender,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, lavender",,,
Gourmand,Sweet,Caramel,Gourmand,베이지/크림 (+카라멜브라운),가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, sweet, caramel",,,
Fruity,Pear,Apple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, pear, apple",,,
Floral,Fruity,Green,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fruity, green",,,
Fruity,Green,Oily,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, oily",,,
Gourmand,Sweet,Medicinal,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, sweet, medicinal",,,
Citrus,Lemongrass,Citronella,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, lemongrass, citronella",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Fruity,Green,Floral,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, floral",,,
Fruity,Apple,Melon,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, apple, melon",,,
Fruity,Citrus,Grapefruit,Fruity,오렌지/레드 (+코랄핑크),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, citrus, grapefruit",,,
Citrus,Balsamic,Dry,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, balsamic, dry",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Balsamic,Fruity,Spicy,Balsamic,"호박색, 갈색, 황갈색, 앰버","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, fruity, spicy",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Herbal,Pine,Fresh,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, fresh",Green/Herbal,,
Herbal,Pine,Fresh,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, fresh",Green/Herbal,,
Herbal,Pine,Terpenic,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, terpenic",Green/Herbal,,
Citrus,Lemon,Herbal,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, lemon, herbal",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Lemon,Herbal,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, lemon, herbal",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Lemon,Herbal,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, lemon, herbal",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Herbal,Spicy,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, spicy, green",Green/Herbal,,
Spicy,Woody,Peppery,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, woody, peppery",,,
Spicy,Woody,Peppery,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, woody, peppery",,,
Spicy,Ginger,Citrus,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, ginger, citrus",,,
Spicy,Ginger,Citrus,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, ginger, citrus",,,
Spicy,Ginger,Citrus,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, ginger, citrus",,,
